Crypto,Cluster
BTC-USD,0
GNO-USD,0
STX4847-USD,0
BTCB-USD,0
CTXC-USD,0
TRAC-USD,0
PRO-USD,0
WBTC-USD,0
WETH-USD,0
GLM-USD,0
DUSK-USD,0
DOGE-USD,0
BNB-USD,0
ETH-USD,0
ELF-USD,0
RBTC-USD,0
ONT-USD,1
SXP-USD,1
STORJ-USD,1
COTI-USD,1
VTHO-USD,1
XEM-USD,1
BAND-USD,1
GAS-USD,1
ONE3945-USD,1
RVN-USD,1
ICX-USD,1
QTUM-USD,1
SC-USD,1
ANKR-USD,1
DASH-USD,1
RSR-USD,1
TEL-USD,1
DCR-USD,1
ZEN-USD,1
XNO-USD,1
WAVES-USD,1
XVG-USD,1
PROM-USD,1
ORBS-USD,1
MTL-USD,1
ARDR-USD,1
STEEM-USD,1
MED-USD,1
ARK-USD,1
HT-USD,1
EURS-USD,1
RIF-USD,1
ERG-USD,1
DENT-USD,1
NMR-USD,1
MVL-USD,1
CELR-USD,1
RLC-USD,1
ONG3217-USD,1
CVC-USD,1
IOST-USD,1
IQ-USD,1
SNT-USD,1
DGB-USD,1
LSK-USD,1
ZRX-USD,1
BAT-USD,1
ENJ-USD,1
XTZ-USD,1
BTT-USD,1
ZIL-USD,1
MKR-USD,1
RUNE-USD,1
THETA-USD,1
ALGO-USD,1
XMR-USD,1
ATOM-USD,1
FIL-USD,1
VET-USD,1
ETC-USD,1
HBAR-USD,1
LTC-USD,1
BCH-USD,1
LINK-USD,1
XLM-USD,1
ADA-USD,1
XRP-USD,1
EOS-USD,1
NEO-USD,1
QKC-USD,1
ZEC-USD,1
FTT-USD,1
KAVA-USD,1
BTG-USD,1
CHZ-USD,1
SNX-USD,1
XDC-USD,1
TFUEL-USD,1
NEXO-USD,1
HOT2682-USD,1
CKB-USD,1
BSV-USD,2
USDC-USD,2
TUSD-USD,2
DAI-USD,2
USDP-USD,2
USDT-USD,2
TRX-USD,3
PAXG-USD,3
LEO-USD,3
BCA-USD,3
FET-USD,3
ABT-USD,3
OKB-USD,3
MX-USD,3
TRB-USD,3
GT-USD,3
STPT-USD,4
QNT-USD,4
MANA-USD,4
DAG-USD,4
MATIC-USD,4
CHR-USD,4
KCS-USD,4
XYO-USD,4
IOTX-USD,4
POWR-USD,4
BDX-USD,4
RPL-USD,4
LRC-USD,4
BORA-USD,4
CRO-USD,4
FTM-USD,4
LUNC-USD,4
FLUX-USD,4
WAXP-USD,4
